
# Efinity Pinout Report
# Version: 2022.1.226
# Date: 2022-12-14 00:38

# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.

# Device: T35F400
# Package status: final
# Project: T35_ADDR_LINES_W_Z80_2
# Configuration mode: active (x4)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
B6,GPIOT_RXP08_CLKP0,,,2A,3.3 V,,,User IO/PLL_CLKIN
B7,VCCIO2A,,Power,2A,3.3 V,,,VCCIO Power
B8,GPIOT_RXN03,,,2A,3.3 V,,,User IO
B9,GPIOT_RXP04,,,2A,3.3 V,,,User IO
B10,VCCIO2A,,Power,2A,3.3 V,,,VCCIO Power
B11,GPIOT_RXP00,,,2A,3.3 V,,,User IO
B12,VCCIO1E,,Power,1E,3.3 V,,,VCCIO Power
B13,GPIOL_112,,Input,1E,3.3 V,,weak pullup,User IO
B14,VCCIO1E,,Power,1E,3.3 V,,,VCCIO Power
B15,GPIOL_96,,Input,1E,3.3 V,,weak pullup,User IO
B16,GPIOL_87,,Input,1D,3.3 V,,weak pullup,User IO
B17,VCCIO1D,,Power,1D,3.3 V,,,VCCIO Power
B18,GPIOL_73_CLK7,seg7[1],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
B19,GPIOL_77_CTRL7,seg7[5],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
B20,GPIOL_71_CLK5,SBCLEDs[7],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
C1,GPIOT_RXN18,,,2C,3.3 V,,,User IO
C2,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
C3,GPIOT_RXP15,,,2B,3.3 V,,,User IO
C4,GPIOT_RXP14,s100_pHLDA.RXP,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C5,GPIOT_RXN14,s100_sINTA.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C6,GPIOT_RXP10,,,2B,3.3 V,,,User IO
C7,GPIOT_RXN10,s100_sINP.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C8,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
C9,GPIOT_RXN04,,,2A,3.3 V,,,User IO
C10,GPIOT_RXP01,,,2A,3.3 V,,,User IO
C11,GPIOT_RXN00,,,2A,3.3 V,,,User IO
C12,GPIOL_111,,Input,1E,3.3 V,,weak pullup,User IO
C13,GPIOL_110,,Input,1E,3.3 V,,weak pullup,User IO
C14,GPIOL_102_NSTATUS,,Input,1E,3.3 V,,weak pullup,User IO/Configuration
C15,GPIOL_94,,Input,1E,3.3 V,,weak pullup,User IO
C16,GPIOL_93,,Input,1D,3.3 V,,weak pullup,User IO
C17,GPIOL_84,,Input,1D,3.3 V,,weak pullup,User IO
C18,GPIOL_76_CTRL6,seg7[4],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
C19,VCCIO1D,,Power,1D,3.3 V,,,VCCIO Power
C20,GPIOL_74_CTRL4,seg7[2],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
D1,GPIOT_RXP18,s100_pSYNC.RXP,Output,2C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D2,GPIOT_RXN21,s100_pSTVAL.RXN,Output,2C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D3,GPIOT_RXN17_CLKN1,,,2B,3.3 V,,,User IO/PLL_CLKIN
D4,GPIOT_RXP17_CLKP1,,,2B,3.3 V,,,User IO/PLL_CLKIN
D5,GPIOT_RXN11,s100_MEMR.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D6,GPIOT_RXP11,,,2B,3.3 V,,,User IO
D7,GPIOT_RXN09,s100_sOUT.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D8,GPIOT_RXP09,,,2B,3.3 V,,,User IO
D9,GPIOT_RXP12,sw1_reset_n.RXP,Input,2B,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO
D10,GPIOT_RXN01,,,2A,3.3 V,,,User IO
D11,GND,,Power,,,,,Ground
D12,GPIOL_113,,Input,1E,3.3 V,,weak pullup,User IO
D13,GPIOL_114,,Input,1E,3.3 V,,weak pullup,User IO
D14,GPIOL_100,,Input,1E,3.3 V,,weak pullup,User IO
D15,GPIOL_95,,Input,1E,3.3 V,,weak pullup,User IO
D16,GPIOL_92,,Input,1D,3.3 V,,weak pullup,User IO
D17,GPIOL_79,seg7[6],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D18,GPIOL_72_CLK6,seg7[0],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
D19,GPIOL_63_CTRL1,,Input,1C,3.3 V,,weak pullup,User IO/GCTRL
D20,GPIOL_66_CLK0,SBCLEDs[3],Output,1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
E1,GPIOT_RXP23,,,2C,3.3 V,,,User IO
E2,GPIOT_RXP21,s100_pDBIN.RXP,Output,2C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
E3,GPIOT_RXN20,boardActive.RXN,Output,2C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
E4,GPIOT_RXP20,s100_n_pWR.RXP,Output,2C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
E5,VCCIO2C,,Power,2C,3.3 V,,,VCCIO Power
E6,GPIOT_RXP19,,,2C,3.3 V,,,User IO
E7,GPIOT_RXN19,,,2C,3.3 V,,,User IO
E8,GND,,Power,,,,,Ground
E9,GPIOT_RXN12,s100_n_sWO.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
E10,GPIOT_RXP07_EXTFB0,,,2A,3.3 V,,,User IO
E11,GPIOT_RXN07_EXTFB0,,,2A,3.3 V,,,User IO
E12,GPIOL_116,,Input,1E,3.3 V,,weak pullup,User IO
E13,VCCIO1E,,Power,1E,3.3 V,,,VCCIO Power
E14,GPIOL_104,,Input,1E,3.3 V,,weak pullup,User IO
E15,GPIOL_99,,Input,1E,3.3 V,,weak pullup,User IO
E16,VCCIO1D,,Power,1D,3.3 V,,,VCCIO Power
E17,GPIOL_75_CTRL5,seg7[3],Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
E18,GPIOL_68_CLK2,,Input,1C,3.3 V,,weak pullup,User IO/GCLK
E19,VCCIO1C,,Power,1C,3.3 V,,,VCCIO Power
E20,GPIOL_67_CLK1,,Input,1C,3.3 V,,weak pullup,User IO/GCLK
F1,GPIOT_RXN23,,,2C,3.3 V,,,User IO
F2,VCCIO2C,,Power,2C,3.3 V,,,VCCIO Power
F3,GPIOT_RXN22,,,2C,3.3 V,,,User IO
F4,GPIOT_RXP24_EXTFB2,,,2C,3.3 V,,,User IO
F5,GPIOT_RXN24_EXTFB2,,,2C,3.3 V,,,User IO
F6,GPIOR_121_MREFCLK,s100_sMWRT,Output,3C_TR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
F7,GPIOR_118_PLLIN0,,Input,3C_TR,3.3 V,,weak pullup,User IO/PLL_CLKIN
F8,VCCA_TR,,Power,3C_TR,3.3 V,,,1.2 V PLL Power
F9,VCCIO2C,,Power,2C,3.3 V,,,VCCIO Power
F10,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
F11,VCCIO2A,,Power,2A,3.3 V,,,VCCIO Power
F12,GPIOL_115,,Input,1E,3.3 V,,weak pullup,User IO
F13,GPIOL_117,,Input,1E,3.3 V,,weak pullup,User IO
F14,GPIOL_103_TEST_N,,Input,1E,3.3 V,,weak pullup,User IO/Configuration
F15,GPIOL_98,,Input,1E,3.3 V,,weak pullup,User IO
F16,GPIOL_85,,Input,1D,3.3 V,,weak pullup,User IO
F17,GPIOL_82,,Input,1D,3.3 V,,weak pullup,User IO
F18,GPIOL_69_CLK3,,Input,1C,3.3 V,,weak pullup,User IO/GCLK
F19,GPIOL_64_CTRL2,SBCLEDs[2],Output,1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
F20,GPIOL_58,,Input,1C,3.3 V,,weak pullup,User IO
G1,GPIOT_RXN25_CLKN2,,,2C,3.3 V,,,User IO/PLL_CLKIN
G2,GPIOT_RXP25_CLKP2,,,2C,3.3 V,,,User IO/PLL_CLKIN
G3,GPIOT_RXP22,,,2C,3.3 V,,,User IO
G4,GPIOR_127_CLK14,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
G5,GPIOR_123_CTRL14,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCTRL
G6,GPIOR_119_PLLIN1,,Input,3C_TR,3.3 V,,weak pullup,User IO/PLL_CLKIN
G7,GPIOR_120_PLLIN2,F_bus_ctl_oe,Output,3C_TR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
G8,GND,,Power,,,,,Ground
G9,GND,,Power,,,,,Ground
G10,GND,,Power,,,,,Ground
G11,GND,,Power,,,,,Ground
G12,GND,,Power,,,,,Ground
G13,GND,,Power,,,,,Ground
G14,GPIOL_101,,Input,1E,3.3 V,,weak pullup,User IO
G15,GPIOL_91,,Input,1D,3.3 V,,weak pullup,User IO
G16,GPIOL_89,,Input,1D,3.3 V,,weak pullup,User IO
G17,GPIOL_70_CLK4,,Input,1D,3.3 V,,weak pullup,User IO/GCLK
G18,GPIOL_65_CTRL3,,Input,1C,3.3 V,,weak pullup,User IO/GCTRL
G19,GND,,Power,,,,,Ground
G20,GPIOL_56,,Input,1C,3.3 V,,weak pullup,User IO
H1,GPIOR_130_CLK11,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
H2,GPIOR_131_CLK10,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
H3,GPIOR_124_CTRL13,s100_rdy,Input,3C_TR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
H4,GPIOR_125_CTRL12,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCTRL
H5,VCCIO3C_TR,,Power,3C_TR,3.3 V,,,VCCIO Power
H6,GPIOR_122_CTRL15,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCTRL
H7,GPIOR_126_CLK15,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
H8,VCC,,Power,,,,,1.2 V VCC Power
H9,VCC,,Power,,,,,1.2 V VCC Power
H10,VCC,,Power,,,,,1.2 V VCC Power
H11,VCC,,Power,,,,,1.2 V VCC Power
H12,VCC,,Power,,,,,1.2 V VCC Power
H13,VCC,,Power,,,,,1.2 V VCC Power
H14,GPIOL_83,,Input,1D,3.3 V,,weak pullup,User IO
H15,GPIOL_81,seg7_dp,Output,1D,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
H16,VCCIO1C,,Power,1C,3.3 V,,,VCCIO Power
H17,GPIOL_60,,Input,1C,3.3 V,,weak pullup,User IO
H18,GPIOL_62_CTRL0,SBCLEDs[1],Output,1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
H19,GPIOL_54,,Input,1C,3.3 V,,weak pullup,User IO
H20,GPIOL_53,,Input,1C,3.3 V,,weak pullup,User IO
J1,GPIOR_134_CTRL11,s100_PHANTOM,Output,3C_TR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
J2,GND,,Power,,,,,Ground
J3,GPIOR_135_CTRL10,s100_xrdy,Input,3C_TR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
J4,GPIOR_132_CLK9,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
J5,GPIOR_133_CLK8,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
J6,GPIOR_129_CLK12,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
J7,VCCIO3C_TR,,Power,3C_TR,3.3 V,,,VCCIO Power
J8,GND,,Power,,,,,Ground
J9,GND,,Power,,,,,Ground
J10,GND,,Power,,,,,Ground
J11,GND,,Power,,,,,Ground
J12,GND,,Power,,,,,Ground
J13,GND,,Power,,,,,Ground
J14,GPIOL_59,SBCLEDs[0],Output,1C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
J15,GPIOL_57,,Input,1C,3.3 V,,weak pullup,User IO
J16,GPIOL_51,,Input,1C,3.3 V,,weak pullup,User IO
J17,GPIOL_52,,Input,1C,3.3 V,,weak pullup,User IO
J18,GPIOL_47,,Input,1C,3.3 V,,weak pullup,User IO
J19,VCCIO1C,,Power,1C,3.3 V,,,VCCIO Power
J20,GPIOL_50,,Input,1C,3.3 V,,weak pullup,User IO
K1,DDR_BA[2],,,3D,,,,
K2,DDR_BA[1],,,3D,,,,
K3,DDR_BA[0],,,3D,,,,
K4,DDR_WE_N,,,3D,,,,
K5,GPIOR_128_CLK13,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCLK
K6,GPIOR_136_CTRL9,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCTRL
K7,GPIOR_137_CTRL8,,Input,3C_TR,3.3 V,,weak pullup,User IO/GCTRL
K8,VCC,,Power,,,,,1.2 V VCC Power
K9,VCC,,Power,,,,,1.2 V VCC Power
K10,VCC,,Power,,,,,1.2 V VCC Power
K11,VCC,,Power,,,,,1.2 V VCC Power
K12,VCC,,Power,,,,,1.2 V VCC Power
K13,VCC,,Power,,,,,1.2 V VCC Power
K14,GPIOL_49,,Input,1C,3.3 V,,weak pullup,User IO
K15,GPIOL_45,,Input,1B,3.3 V,,weak pullup,User IO
K16,GPIOL_44,,Input,1B,3.3 V,,weak pullup,User IO
K17,GPIOL_43,,Input,1B,3.3 V,,weak pullup,User IO
K18,GPIOL_42,,Input,1B,3.3 V,,weak pullup,User IO
K19,GPIOL_46,,Input,1C,3.3 V,,weak pullup,User IO
K20,GPIOL_48,,Input,1C,3.3 V,,weak pullup,User IO
L1,DDR_DQ[14],,,3D,,,,
L2,DDR_DQ[13],,,3D,,,,
L3,DDR_DQ[12],,,3D,,,,
L4,DDR_RST_N,,,3D,,,,
L5,GND,,Power,,,,,Ground
L6,DDR_ODT,,,3D,,,,
L7,VCCIO_DDR,,Power,3D,,,,VCCIO Power
L8,GND,,Power,,,,,Ground
L9,GND,,Power,,,,,Ground
L10,GND,,Power,,,,,Ground
L11,GND,,Power,,,,,Ground
L12,GND,,Power,,,,,Ground
L13,GND,,Power,,,,,Ground
L14,GPIOL_41,,Input,1B,3.3 V,,weak pullup,User IO
L15,GPIOL_37,,Input,1B,3.3 V,,weak pullup,User IO
L16,VCCIO1B,,Power,1B,3.3 V,,,VCCIO Power
L17,GPIOL_36,,Input,1B,3.3 V,,weak pullup,User IO
L18,GPIOL_40,,Input,1B,3.3 V,,weak pullup,User IO
L19,VCCIO1B,,Power,1B,3.3 V,,,VCCIO Power
L20,GPIOL_39,,Input,1B,3.3 V,,weak pullup,User IO
M1,DDR_DQ[15],,,3D,,,,
M2,GND,,Power,,,,,Ground
M3,DDR_DQS_N[1],,,3D,,,,
M4,DDR_RAS_N,,,3D,,,,
M5,DDR_A[15],,,3D,,,,
M6,DDR_A[13],,,3D,,,,
M7,GND,,Power,,,,,Ground
M8,VCC,,Power,,,,,1.2 V VCC Power
M9,VCC,,Power,,,,,1.2 V VCC Power
M10,VCC,,Power,,,,,1.2 V VCC Power
M11,VCC,,Power,,,,,1.2 V VCC Power
M12,VCC,,Power,,,,,1.2 V VCC Power
M13,VCC,,Power,,,,,1.2 V VCC Power
M14,GPIOL_21,,Input,1B,3.3 V,,weak pullup,User IO
M15,GPIOL_31,,Input,1B,3.3 V,,weak pullup,User IO
M16,GPIOL_34,,Input,1B,3.3 V,,weak pullup,User IO
M17,GPIOL_32,,Input,1B,3.3 V,,weak pullup,User IO
M18,GPIOL_33,,Input,1B,3.3 V,,weak pullup,User IO
M19,GPIOL_38,,Input,1B,3.3 V,,weak pullup,User IO
M20,GPIOL_35,,Input,1B,3.3 V,,weak pullup,User IO
N1,DDR_DM[1],,,3D,,,,
N2,DDR_DQ[11],,,3D,,,,
N3,DDR_DQS[1],,,3D,,,,
N4,DDR_A[14],,,3D,,,,
N5,DDR_A[11],,,3D,,,,
N6,DDR_CKE,,,3D,,,,
N7,VCCIO_DDR,,Power,3D,,,,VCCIO Power
N8,GND,,Power,,,,,Ground
N9,GND,,Power,,,,,Ground
N10,GND,,Power,,,,,Ground
N11,GND,,Power,,,,,Ground
N12,GND,,Power,,,,,Ground
N13,GND,,Power,,,,,Ground
N14,GPIOL_17_EXTFB0,S100adr0_15[1],Output,1B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N15,GPIOL_20_CDI5,,Input,1B,3.3 V,,weak pullup,User IO
N16,GPIOL_27,,Input,1B,3.3 V,,weak pullup,User IO
N17,GPIOL_30,,Input,1B,3.3 V,,weak pullup,User IO
N18,GPIOL_28,,Input,1B,3.3 V,,weak pullup,User IO
N19,VCCIO1B,,Power,1B,3.3 V,,,VCCIO Power
N20,GPIOL_29,,Input,1B,3.3 V,,weak pullup,User IO
P1,DDR_DQ[8],,,3D,,,,
P2,DDR_DQ[9],,,3D,,,,
P3,DDR_DQ[10],,,3D,,,,
P4,DDR_A[12],,,3D,,,,
P5,VCCIO_DDR,,Power,3D,,,,VCCIO Power
P6,DDR_CAS_N,,,3D,,,,
P7,GND,,Power,,,,,Ground
P8,VCC,,Power,,,,,1.2 V VCC Power
P9,VCC,,Power,,,,,1.2 V VCC Power
P10,VCC,,Power,,,,,1.2 V VCC Power
P11,VCC,,Power,,,,,1.2 V VCC Power
P12,VCC,,Power,,,,,1.2 V VCC Power
P13,VCC,,Power,,,,,1.2 V VCC Power
P14,GPIOL_10,S100adr0_15[2],Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P15,GPIOL_14_CDI2,,Input,1B,3.3 V,,weak pullup,User IO/Configuration
P16,GPIOL_19_PLLIN1,S100adr0_15[0],Output,1B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
P17,GND,,Power,,,,,Ground
P18,GPIOL_22_CDI6,,Input,1B,3.3 V,,weak pullup,User IO
P19,GPIOL_26,,Input,1B,3.3 V,,weak pullup,User IO
P20,GPIOL_25,,Input,1B,3.3 V,,weak pullup,User IO
R1,DDR_A[8],,,3D,,,,
R2,VCCIO_DDR,,Power,3D,,,,VCCIO Power
R3,DDR_CK,,,3D,,,,
R4,DDR_CK_N,,,3D,,,,
R5,DDR_A[10],,,3D,,,,
R6,DDR_CS_N,,,3D,,,,
R7,VCCIO_DDR,,Power,3D,,,,VCCIO Power
R8,VCCA_BR,,Power,BR,3.3 V,,,1.2 V PLL Power
R9,VCCIO_BR,,Power,BR,3.3 V,,,VCCIO Power
R10,REF_RES_4A,,Input,4A,3.3 V,,,
R11,GND,,Power,,,,,Ground
R12,REF_RES_4B,,Input,4B,3.3 V,,,
R13,VCCA_BL,,Power,BL,,,,1.2 V PLL Power
R14,GPIOL_03,,Input,1A,3.3 V,,weak pullup,User IO
R15,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
R16,GPIOL_15_PLLIN0,,Input,1B,3.3 V,,weak pullup,User IO/PLL_CLKIN
R17,GPIOL_16_CDI3,,Input,1B,3.3 V,,weak pullup,User IO/Configuration
R18,GPIOL_18_CDI4,,Input,1B,3.3 V,,weak pullup,User IO
R19,GND,,Power,,,,,Ground
R20,GPIOL_23,,Input,1B,3.3 V,,weak pullup,User IO
T1,DDR_A[7],,,3D,,,,
T2,DDR_A[9],,,3D,,,,
T3,DDR_A[4],,,3D,,,,
T4,DDR_A[6],,,3D,,,,
T5,DDR_A[5],,,3D,,,,
T6,DDR_A[3],,,3D,,,,
T7,GPIOR_141,SBCLEDs[6],Output,BR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T8,GPIOR_138_PLLIN0,clockIn,Input,BR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
T9,GPIOR_139_PLLIN1,SBCLEDs[4],Output,BR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
T10,GPIOB_TXN10,,,4A,3.3 V,,,User IO
T11,GPIOB_TXP10,S100adr16_19[0].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T12,GPIOB_TXN05_CDI26,,,4B,3.3 V,,,User IO
T13,GPIOB_TXP05_CDI27,S100adr16_19[3].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T14,VCCIO4B,,Power,4B,3.3 V,,,VCCIO Power
T15,GPIOL_02,S100adr0_15[4],Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
T16,GPIOL_04_CSI,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
T17,GPIOL_05_CSO,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
T18,GPIOL_12_CBUS1,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
T19,CDONE,,Bidirectional,1A,3.3 V,,,Configuration
T20,GPIOL_24_CDI7,,Input,1B,3.3 V,,weak pullup,User IO
U1,DDR_DQS_N[0],,,3D,,,,
U2,DDR_DQ[3],,,3D,,,,
U3,DDR_DQ[0],,,3D,,,,
U4,DDR_A[0],,,3D,,,,
U5,GND,,Power,,,,,Ground
U6,GPIOB_TXN17_CDI10,F_add_oe.TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U7,GPIOB_TXP17_CDI11,,,4A,3.3 V,,,User IO
U8,GND,,Power,,,,,Ground
U9,GPIOR_140_PLLIN2,SBCLEDs[5],Output,BR,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
U10,GPIOB_TXN15_CDI14,s100_CDSB.TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
U11,VCCIO4A,,Power,4A,3.3 V,,,VCCIO Power
U12,GPIOB_TXN06_CDI24,,,4B,3.3 V,,,User IO
U13,GPIOB_TXP07_CDI23,S100adr16_19[2].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U14,GPIOB_TXP02,S100adr0_15[14].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U15,GPIOB_TXN00,,,4B,3.3 V,,,User IO
U16,GND,,Power,,,,,Ground
U17,GPIOL_06,S100adr0_15[3],Output,1A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
U18,GPIOL_11_CBUS0,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
U19,CRESET_N,,Input,1A,3.3 V,,,Configuration
U20,TMS,,Input,1A,3.3 V,,,Configuration
V1,DDR_DQS[0],,,3D,,,,
V2,GND,,Power,,,,,Ground
V3,DDR_DQ[2],,,3D,,,,
V4,DDR_VREF,,,3D,,,,
V5,DDR_A[2],,,3D,,,,
V6,GPIOB_TXP18_EXTFB2_CDI9,,,4A,3.3 V,,,User IO
V7,GPIOB_TXN18_CDI8,,,4A,3.3 V,,,User IO
V8,GPIOB_TXN19,F_bus_stat_oe.TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
V9,GPIOB_TXP19_CLK2,,,4A,3.3 V,,,User IO/PLL_CLKIN
V10,GPIOB_TXP15_CLK1_CDI15,,,4A,3.3 V,,,User IO/PLL_CLKIN
V11,GPIOB_TXN11,s100_ADSB.TXN,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V12,GPIOB_TXP06_CDI25,S100adr16_19[1].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V13,GPIOB_TXN07_CDI22,,,4B,3.3 V,,,User IO
V14,GPIOB_TXN02,,,4B,3.3 V,,,User IO
V15,GPIOB_TXP00,S100adr0_15[13].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
V16,GPIOB_TXN03_CDI30,,,4B,3.3 V,,,User IO
V17,GPIOL_07,,Input,1A,3.3 V,,weak pullup,User IO
V18,GPIOL_13_CBUS2,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
V19,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
V20,TDO,,Output,1A,3.3 V,,,Configuration
W1,DDR_DM[0],,,3D,,,,
W2,DDR_DQ[4],,,3D,,,,
W3,DDR_DQ[1],,,3D,,,,
W4,VCCIO_DDR,,Power,3D,,,,VCCIO Power
W5,DDR_A[1],,,3D,,,,
W6,GPIOB_TXN14_CDI16,,,4A,3.3 V,,,User IO
W7,VCCIO4A,,Power,4A,3.3 V,,,VCCIO Power
W8,GPIOB_TXN16_CDI12,,,4A,3.3 V,,,User IO
W9,GPIOB_TXP16_CDI13,S100adr0_15[9].TXP,Output,4A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
W10,VCCIO4A,,Power,4A,3.3 V,,,VCCIO Power
W11,GPIOB_TXP11,,,4A,3.3 V,,,User IO
W12,VCCIO4B,,Power,4B,3.3 V,,,VCCIO Power
W13,GPIOB_TXN08_CDI20,,,4B,3.3 V,,,User IO
W14,GPIOB_TXN04_CDI28,,,4B,3.3 V,,,User IO
W15,VCCIO4B,,Power,4B,3.3 V,,,VCCIO Power
W16,GPIOB_TXP03_CDI31,S100adr0_15[12].TXP,Output,4B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
W17,GND,,Power,,,,,Ground
W18,GPIOL_00_SS_N,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
W19,GPIOL_01_CCK,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
